Frequency	Category
3	communication
3	writing
2	positive_emotion
1	help
1	achievement
1	leader
1	healing
1	restaurant
1	politics
1	family
1	order
1	optimism
1	giving
0	sadness
0	rage
0	emotional
0	tool
0	phone
0	gain
0	sound
